PERMNO,Company Name,Ticker,SP500 Start,SP500 End
22623,CONSTELLATION ENERGY CORP,CEG,"Feb. 2, 2022","Dec. 31, 2024"
22752,MERCK & CO INC NEW,MRK,"March 1, 1957","Dec. 31, 2024"
22779,MOTOROLA SOLUTIONS INC,MSI,"March 1, 1957","Dec. 31, 2024"
22976,WARNER BROS DISCOVERY INC,WBD,"April 11, 2022","Dec. 31, 2024"
23026,FIRSTENERGY CORP,FE,"July 10, 1957","Dec. 31, 2024"
23229,C M S ENERGY CORP,CMS,"May 3, 1999","Dec. 31, 2024"
23393,CHURCH & DWIGHT INC,CHD,"Dec. 29, 2015","Dec. 31, 2024"
23473,CINCINNATI FINANCIAL CORP,CINF,"Dec. 18, 1997","Dec. 31, 2024"
23536,W E C ENERGY GROUP INC,WEC,"Oct. 31, 2008","Dec. 31, 2024"
23579,TEXTRON INC,TXT,"Oct. 5, 1978","Dec. 31, 2024"
23660,CINTAS CORP,CTAS,"March 1, 2001","Dec. 31, 2024"
23712,PUBLIC SERVICE ENTERPRISE GP INC,PEG,"July 7, 1948","Dec. 31, 2024"
23819,HALLIBURTON CO,HAL,"March 1, 1957","Dec. 31, 2024"
23931,X C E L ENERGY INC,XEL,"July 6, 1949","Dec. 31, 2024"
24010,ENTERGY CORP NEW,ETR,"March 1, 1957","Dec. 31, 2024"
24053,EVERGY INC,EVRG,"June 5, 2018","Dec. 31, 2024"
24109,AMERICAN ELECTRIC POWER CO INC,AEP,"Sept. 6, 1951","Dec. 31, 2024"
24205,NEXTERA ENERGY INC,NEE,"July 1, 1976","Dec. 31, 2024"
24328,E Q T CORP,EQT,"Oct. 3, 2022","Dec. 31, 2024"
24643,HOWMET AEROSPACE INC,HWM,"March 1, 1957","Dec. 31, 2024"
24766,NORTHROP GRUMMAN CORP,NOC,"June 13, 1985","Dec. 31, 2024"
24985,AMEREN CORP,AEE,"Sept. 20, 1991","Dec. 31, 2024"
25081,COMERICA INC,CMA,"Dec. 1, 1995",21-Jun-24
25232,ONEOK INC NEW,OKE,"March 15, 2010","Dec. 31, 2024"
25320,CAMPBELL SOUP CO,CPB,"March 1, 1957","Dec. 31, 2024"
25419,WHIRLPOOL CORP,WHR,"April 1, 1959",15-Mar-24
25582,L3HARRIS TECHNOLOGIES INC,LHX,"Sept. 22, 2008","Dec. 31, 2024"
25785,FORD MOTOR CO DEL,F,"March 1, 1957","Dec. 31, 2024"
25953,DOVER CORP,DOV,"Oct. 24, 1985","Dec. 31, 2024"
26403,DISNEY WALT CO,DIS,"July 1, 1976","Dec. 31, 2024"
26710,LOEWS CORP,L,"May 10, 1995","Dec. 31, 2024"
26825,KELLOGG CO,K,"April 26, 1961","Dec. 31, 2024"
27828,H P INC,HPQ,"Oct. 17, 1974","Dec. 31, 2024"
27887,BAXTER INTERNATIONAL INC,BAX,"Sept. 14, 1972","Dec. 31, 2024"
27959,DUKE ENERGY CORP NEW,DUK,"July 1, 1976","Dec. 31, 2024"
27991,PINNACLE WEST CAPITAL CORP,PNW,"Oct. 4, 1999","Dec. 31, 2024"
28222,AIR PRODUCTS & CHEMICALS INC,APD,"April 11, 1985","Dec. 31, 2024"
28388,VORNADO REALTY TRUST,VNO,"Aug. 12, 2005","Jan. 4, 2023"
28484,HESS CORP,HES,"May 17, 1984","Dec. 31, 2024"
28804,ALASKA AIRGROUP INC,ALK,"May 13, 2016","Dec. 15, 2023"
29946,BROWN FORMAN CORP,BF,"Oct. 14, 1982","Dec. 31, 2024"
30681,OMNICOM GROUP INC,OMC,"Dec. 24, 1997","Dec. 31, 2024"
32870,HORMEL FOODS CORP,HRL,"March 4, 2009","Dec. 31, 2024"
32986,ATMOS ENERGY CORP,ATO,"Feb. 15, 2019","Dec. 31, 2024"
34032,MASCO CORP,MAS,"June 18, 1981","Dec. 31, 2024"
34746,FIFTH THIRD BANCORP,FITB,"March 8, 1996","Dec. 31, 2024"
34817,NUCOR CORP,NUE,"April 18, 1985","Dec. 31, 2024"
34833,OCCIDENTAL PETROLEUM CORP,OXY,"Dec. 9, 1982","Dec. 31, 2024"
35044,REGIONS FINANCIAL CORP NEW,RF,"Aug. 28, 1998","Dec. 31, 2024"
35554,M & T BANK CORP,MTB,"Feb. 27, 2004","Dec. 31, 2024"
36003,ROLLINS INC,ROL,"Oct. 1, 2018","Dec. 31, 2024"
36468,SHERWIN WILLIAMS CO,SHW,"May 14, 1964","Dec. 31, 2024"
37584,FRANKLIN RESOURCES INC,BEN,"April 29, 1998","Dec. 31, 2024"
38093,GALLAGHER ARTHUR J & CO,AJG,"May 31, 2016","Dec. 31, 2024"
38156,WILLIAMS COS,WMB,"Feb. 6, 1975","Dec. 31, 2024"
38703,WELLS FARGO & CO NEW,WFC,"July 1, 1976","Dec. 31, 2024"
38762,NISOURCE INC,NI,"Nov. 2, 2000","Dec. 31, 2024"
39490,A P A CORP,APA,"July 28, 1997","Dec. 31, 2024"
39642,BECTON DICKINSON & CO,BDX,"Sept. 14, 1972","Dec. 31, 2024"
39917,WEYERHAEUSER CO,WY,"Dec. 5, 1963","Dec. 31, 2024"
40125,D X C TECHNOLOGY CO,DXC,"April 4, 2017","Oct. 2, 2023"
40272,INTERNATIONAL FLAVORS & FRAG INC,IFF,"March 4, 1976","Dec. 31, 2024"
40539,T J X COMPANIES INC NEW,TJX,"Sept. 26, 1985","Dec. 31, 2024"
41080,CUMMINS INC,CMI,"Jan. 7, 1965","Dec. 31, 2024"
41355,PARKER HANNIFIN CORP,PH,"Nov. 7, 1985","Dec. 31, 2024"
42200,PERKINELMER INC,PKI,"May 9, 1985","Dec. 31, 2024"
42585,SMUCKER J M CO,SJM,"Nov. 6, 2008","Dec. 31, 2024"
42877,HUNT J B TRANSPORT SERVICES INC,JBHT,"July 1, 2015","Dec. 31, 2024"
42906,HUNTINGTON BANCSHARES INC,HBAN,"Aug. 6, 1997","Dec. 31, 2024"
43350,STANLEY BLACK & DECKER INC,SWK,"Sept. 16, 1982","Dec. 31, 2024"
43449,MCDONALDS CORP,MCD,"June 25, 1970","Dec. 31, 2024"
43553,V F CORP,VFC,"May 3, 1979",2-Apr-24
44206,EVERSOURCE ENERGY,ES,"March 17, 2009","Dec. 31, 2024"
44329,TELEFLEX INC,TFX,"Jan. 18, 2019","Dec. 31, 2024"
44601,AVERY DENNISON CORP,AVY,"Dec. 24, 1987","Dec. 31, 2024"
44644,AUTOMATIC DATA PROCESSING INC,ADP,"Feb. 26, 1981","Dec. 31, 2024"
45356,JOHNSON CONTROLS INTL PLC,JCI,"Aug. 27, 2010","Dec. 31, 2024"
45751,MARSH & MCLENNAN COS INC,MMC,"Aug. 6, 1987","Dec. 31, 2024"
45911,SKYWORKS SOLUTIONS INC,SWKS,"March 12, 2015","Dec. 31, 2024"
46578,CLOROX CO,CLX,"Jan. 16, 1969","Dec. 31, 2024"
46674,GENUINE PARTS CO,GPC,"Nov. 15, 1973","Dec. 31, 2024"
46703,HOST HOTELS & RESORTS INC,HST,"March 20, 2007","Dec. 31, 2024"
46886,K L A CORP,KLAC,"Sept. 15, 1997","Dec. 31, 2024"
47896,JPMORGAN CHASE & CO,JPM,"July 1, 1976","Dec. 31, 2024"
48486,LAM RESH CORP,LRCX,"June 5, 2012","Dec. 31, 2024"
48506,MOODYS CORP,MCO,"Dec. 27, 1979","Dec. 31, 2024"
48653,HUMANA INC,HUM,"Dec. 1, 1995","Dec. 31, 2024"
48725,UNION PACIFIC CORP,UNP,"July 16, 1969","Dec. 31, 2024"
49015,LINCOLN NATIONAL CORP,LNC,"July 1, 1976","Sept. 15, 2023"
49154,TARGET CORP,TGT,"Dec. 9, 1976","Dec. 31, 2024"
49656,BANK OF NEW YORK MELLON CORP,BK,"March 31, 1995","Dec. 31, 2024"
