,date,entity,classification,softmax,article_count
2886,2023-07-03,CMA,NEUTRAL,"{'positive': 0.017229528298176935, 'neutral': 0.9613935947418213, 'negative': 0.02137687210308607}",2
2887,2023-07-03,COST,NEUTRAL,"{'positive': 0.37556016631424427, 'neutral': 0.47104495018720627, 'negative': 0.15339488931931555}",2
2888,2023-07-03,EL,NEUTRAL,"{'positive': 0.05636154656531289, 'neutral': 0.5843085125088692, 'negative': 0.3593299674491088}",1
2889,2023-07-03,HAS,NEUTRAL,"{'positive': 0.012734912290987284, 'neutral': 0.8970617069604986, 'negative': 0.09020338867552287}",12
2890,2023-07-03,IT,NEUTRAL,"{'positive': 0.008537475309254307, 'neutral': 0.7593469686568581, 'negative': 0.23211555390510466}",17
2891,2023-07-03,LOW,POSITIVE,"{'positive': 0.8702424764633179, 'neutral': 0.1282422011718154, 'negative': 0.00151530799921602}",1
2892,2023-07-03,MET,NEUTRAL,"{'positive': 0.0008618833089713007, 'neutral': 0.9984981417655945, 'negative': 0.0006400072306860238}",1
2893,2023-07-03,META,NEUTRAL,"{'positive': 0.0010033176113211084, 'neutral': 0.7496402983088046, 'negative': 0.2493563594398438}",2
2894,2023-07-03,MS,NEUTRAL,"{'positive': 0.001451678612890343, 'neutral': 0.8609989484151205, 'negative': 0.13754936028271914}",1
2895,2023-07-03,NOW,NEUTRAL,"{'positive': 0.011430594837293029, 'neutral': 0.8963085263967514, 'negative': 0.09226089157164097}",2
2896,2023-07-03,ON,NEUTRAL,"{'positive': 0.04334061625321433, 'neutral': 0.6910011714743227, 'negative': 0.2656582096099151}",17
2897,2023-07-03,PEP,NEUTRAL,"{'positive': 0.0009392474312335253, 'neutral': 0.9978529810905457, 'negative': 0.0012078058207407594}",1
2898,2023-07-03,RE,NEUTRAL,"{'positive': 0.000816415820736438, 'neutral': 0.9884851376215616, 'negative': 0.010698476806282997}",1
2899,2023-07-03,SEE,NEUTRAL,"{'positive': 0.023070948547683656, 'neutral': 0.8975287079811096, 'negative': 0.07940037088701501}",2
2900,2023-07-03,SO,NEUTRAL,"{'positive': 0.4948597848415375, 'neutral': 0.5009222626686096, 'negative': 0.004217894747853279}",1
2901,2023-07-03,TGT,NEUTRAL,"{'positive': 0.0020798667489240565, 'neutral': 0.978472630182902, 'negative': 0.01944750299056371}",3
2902,2023-07-03,TSLA,POSITIVE,"{'positive': 0.5479740045432534, 'neutral': 0.44876270315476824, 'negative': 0.0032632894913799}",1
2903,2023-07-03,UPS,NEUTRAL,"{'positive': 0.0004970346344634891, 'neutral': 0.9990683794021606, 'negative': 0.0004346179048297927}",1
2904,2023-07-04,A,NEUTRAL,"{'positive': 0.12622605548700017, 'neutral': 0.7661732359291751, 'negative': 0.10760070407963747}",16
2905,2023-07-04,ALL,NEUTRAL,"{'positive': 0.003852970607113093, 'neutral': 0.9956586956977844, 'negative': 0.0004883271176367998}",1
2906,2023-07-04,APP,NEUTRAL,"{'positive': 0.001869867187148581, 'neutral': 0.9952747523784637, 'negative': 0.002855413593351841}",1
2907,2023-07-04,ARE,NEUTRAL,"{'positive': 0.1031171542872731, 'neutral': 0.7170909687685447, 'negative': 0.179791873056612}",8
2908,2023-07-04,CMA,NEUTRAL,"{'positive': 0.0030267072143033147, 'neutral': 0.9787929058074951, 'negative': 0.01818042527884245}",1
2909,2023-07-04,COST,NEUTRAL,"{'positive': 0.24293233081698418, 'neutral': 0.6973686218261719, 'negative': 0.05969904363155365}",2
2910,2023-07-04,GOOG,NEUTRAL,"{'positive': 0.0029710831586271524, 'neutral': 0.9956148862838745, 'negative': 0.0014140214771032333}",1
2911,2023-07-04,GOOGL,NEUTRAL,"{'positive': 0.0029710831586271524, 'neutral': 0.9956148862838745, 'negative': 0.0014140214771032333}",1
2912,2023-07-04,HAS,NEUTRAL,"{'positive': 0.22962730779813897, 'neutral': 0.633859878360194, 'negative': 0.13651280445507533}",8
2913,2023-07-04,IT,NEUTRAL,"{'positive': 0.03978250538889476, 'neutral': 0.789970288276128, 'negative': 0.1702472198564656}",10
2914,2023-07-04,MET,NEUTRAL,"{'positive': 0.027071942982729524, 'neutral': 0.9498276337981224, 'negative': 0.023100408681784756}",2
2915,2023-07-04,META,NEUTRAL,"{'positive': 0.0221724576355579, 'neutral': 0.9703256835540135, 'negative': 0.007501854983274825}",2
2916,2023-07-04,ON,NEUTRAL,"{'positive': 0.061322096646654244, 'neutral': 0.836817576808901, 'negative': 0.10186032710027777}",12
2917,2023-07-04,PEAK,NEUTRAL,"{'positive': 0.006216714391484857, 'neutral': 0.7615083754062653, 'negative': 0.2322748824954033}",1
2918,2023-07-04,PEP,NEUTRAL,"{'positive': 0.001491760602220893, 'neutral': 0.9967463910579681, 'negative': 0.0017618099809624255}",1
2919,2023-07-04,RE,NEUTRAL,"{'positive': 0.0005945075026829727, 'neutral': 0.9909384846687317, 'negative': 0.0084670081268996}",2
2920,2023-07-04,SEE,NEUTRAL,"{'positive': 0.06710088439285755, 'neutral': 0.9302532821893692, 'negative': 0.00264581642113626}",2
2921,2023-07-04,SO,NEGATIVE,"{'positive': 0.0033240418415516615, 'neutral': 0.435538187623024, 'negative': 0.5611377507448196}",1
2922,2023-07-04,TECH,NEUTRAL,"{'positive': 0.026894915848970413, 'neutral': 0.971161425113678, 'negative': 0.0019436884904280305}",1
2923,2023-07-04,TGT,NEUTRAL,"{'positive': 0.00622003227181267, 'neutral': 0.8691341355443001, 'negative': 0.12464581592939794}",2
2924,2023-07-04,WELL,NEUTRAL,"{'positive': 0.0015620631553853552, 'neutral': 0.6637904763532182, 'negative': 0.3346474572705726}",3
2925,2023-07-05,A,NEUTRAL,"{'positive': 0.047606293172743445, 'neutral': 0.8145475297972986, 'negative': 0.13784618155108014}",17
2926,2023-07-05,ALL,NEUTRAL,"{'positive': 0.00507866694048668, 'neutral': 0.9928620755672455, 'negative': 0.002059246937278658}",3
2927,2023-07-05,ARE,NEUTRAL,"{'positive': 0.009623560514629413, 'neutral': 0.9193454099389223, 'negative': 0.07103103714321966}",13
2928,2023-07-05,COST,NEGATIVE,"{'positive': 0.11211870424449444, 'neutral': 0.42041882686316967, 'negative': 0.46746250009164214}",1
2929,2023-07-05,GOOG,NEUTRAL,"{'positive': 0.057165712025016545, 'neutral': 0.920929166674614, 'negative': 0.021905110328225418}",1
2930,2023-07-05,GOOGL,NEUTRAL,"{'positive': 0.057165712025016545, 'neutral': 0.920929166674614, 'negative': 0.021905110328225418}",1
2931,2023-07-05,HAS,NEUTRAL,"{'positive': 0.017172262235625464, 'neutral': 0.9739164363178942, 'negative': 0.00891130461693845}",10
2932,2023-07-05,IT,NEUTRAL,"{'positive': 0.05185196793885809, 'neutral': 0.7738330579582692, 'negative': 0.17431498602712342}",13
2933,2023-07-05,ON,NEUTRAL,"{'positive': 0.10344889556078153, 'neutral': 0.6860834637663615, 'negative': 0.21046764497549655}",16
2934,2023-07-05,RE,NEUTRAL,"{'positive': 0.0025571157530066557, 'neutral': 0.6598865911364555, 'negative': 0.33755630790255964}",1
2935,2023-07-05,SO,NEUTRAL,"{'positive': 0.0023855251347413287, 'neutral': 0.5941670425236225, 'negative': 0.4034474375657737}",2
2936,2023-07-05,SQ,NEUTRAL,"{'positive': 0.0032561931293457747, 'neutral': 0.9908479452133179, 'negative': 0.005895889829844236}",1
2937,2023-07-05,TGT,NEUTRAL,"{'positive': 0.004037824963840346, 'neutral': 0.9107328057289124, 'negative': 0.08522937571009}",3
2938,2023-07-05,WELL,NEUTRAL,"{'positive': 0.0006411325884982944, 'neutral': 0.997818112373352, 'negative': 0.001540746889077127}",1
2939,2023-07-06,A,NEUTRAL,"{'positive': 0.06685487585493198, 'neutral': 0.8270539299970515, 'negative': 0.1060911949376524}",22
2940,2023-07-06,ALL,NEUTRAL,"{'positive': 0.007719302598464613, 'neutral': 0.9834571331739426, 'negative': 0.008823544475793218}",2
2941,2023-07-06,APP,NEUTRAL,"{'positive': 0.10114426639319088, 'neutral': 0.8950189654032389, 'negative': 0.003836769541570296}",5
2942,2023-07-06,ARE,NEUTRAL,"{'positive': 0.022860836039904055, 'neutral': 0.9177486283555062, 'negative': 0.05939054081523367}",10
2943,2023-07-06,CMA,NEUTRAL,"{'positive': 0.002099707276405146, 'neutral': 0.9826786518096924, 'negative': 0.015221611286203066}",1
2944,2023-07-06,COST,NEGATIVE,"{'positive': 0.061590458266437054, 'neutral': 0.016454685013741255, 'negative': 0.9219548553228378}",2
2945,2023-07-06,DOW,POSITIVE,"{'positive': 0.9793107807636261, 'neutral': 0.018539260141551495, 'negative': 0.002149923238903284}",1
2946,2023-07-06,GOOG,NEUTRAL,"{'positive': 0.0009765371796675026, 'neutral': 0.9986995756626129, 'negative': 0.0003239133511669934}",1
2947,2023-07-06,GOOGL,NEUTRAL,"{'positive': 0.0009765371796675026, 'neutral': 0.9986995756626129, 'negative': 0.0003239133511669934}",1
2948,2023-07-06,HAS,NEUTRAL,"{'positive': 0.10507038815411028, 'neutral': 0.8045821072077621, 'negative': 0.09034750000243702}",12
2949,2023-07-06,IT,NEUTRAL,"{'positive': 0.040755812642569396, 'neutral': 0.689437167183894, 'negative': 0.26980701727647705}",18
2950,2023-07-06,META,NEUTRAL,"{'positive': 0.010472854052123795, 'neutral': 0.8820543168736752, 'negative': 0.10747281933242145}",5
2951,2023-07-06,NOW,NEGATIVE,"{'positive': 0.008720224102338156, 'neutral': 0.29938956070691347, 'negative': 0.6918902285397053}",1
2952,2023-07-06,ON,NEUTRAL,"{'positive': 0.04215693090078319, 'neutral': 0.806327947020797, 'negative': 0.1515151318008875}",17
2953,2023-07-06,RE,NEGATIVE,"{'positive': 0.004628683906048536, 'neutral': 0.32225561141967773, 'negative': 0.6731157302856445}",1
2954,2023-07-06,SEE,NEUTRAL,"{'positive': 0.23114045438290176, 'neutral': 0.7324849111693246, 'negative': 0.036374635595296106}",2
2955,2023-07-06,SO,NEUTRAL,"{'positive': 0.2849697470664978, 'neutral': 0.7112653441727161, 'negative': 0.0037649218284059316}",4
2956,2023-07-06,TECH,NEUTRAL,"{'positive': 0.005850369576364756, 'neutral': 0.6748098358511925, 'negative': 0.3193398006260395}",2
2957,2023-07-06,TGT,NEUTRAL,"{'positive': 0.009325084780963758, 'neutral': 0.9310730273524921, 'negative': 0.05960191224585287}",2
2958,2023-07-06,UBER,NEUTRAL,"{'positive': 0.0011678060400299728, 'neutral': 0.9962301850318909, 'negative': 0.002601993386633694}",1
2959,2023-07-06,WELL,NEUTRAL,"{'positive': 0.0006405889871530235, 'neutral': 0.997809112071991, 'negative': 0.001550412504002452}",1
2960,2023-07-07,A,NEUTRAL,"{'positive': 0.03389623304282033, 'neutral': 0.8371415484197766, 'negative': 0.12896221572297753}",15
2961,2023-07-07,ALL,NEUTRAL,"{'positive': 0.001204619329655543, 'neutral': 0.9086097180843353, 'negative': 0.09018565760925412}",1
2962,2023-07-07,ARE,NEUTRAL,"{'positive': 0.04222875377368108, 'neutral': 0.8842092625206005, 'negative': 0.07356199161314189}",9
2963,2023-07-07,CMA,NEUTRAL,"{'positive': 0.00047152656770776957, 'neutral': 0.9948788583278656, 'negative': 0.004649671958759427}",1
2964,2023-07-07,DE,NEUTRAL,"{'positive': 0.011667282495182008, 'neutral': 0.982290968298912, 'negative': 0.006041731219738722}",1
2965,2023-07-07,HAS,NEUTRAL,"{'positive': 0.01804963196740487, 'neutral': 0.9144042034481373, 'negative': 0.06754617671507768}",6
2966,2023-07-07,IT,NEUTRAL,"{'positive': 0.04861630928265358, 'neutral': 0.8297990191456177, 'negative': 0.12158466966054624}",13
2967,2023-07-07,META,NEUTRAL,"{'positive': 0.0017053369665518403, 'neutral': 0.9899196326732635, 'negative': 0.008375033852644265}",1
2968,2023-07-07,ON,NEUTRAL,"{'positive': 0.023968845590224736, 'neutral': 0.7854492600676283, 'negative': 0.19058189479648774}",13
2969,2023-07-07,RE,NEUTRAL,"{'positive': 0.047548105008900166, 'neutral': 0.6159570962190628, 'negative': 0.33649480185704306}",1
2970,2023-07-07,SO,NEUTRAL,"{'positive': 0.33624361391412094, 'neutral': 0.4374693464487791, 'negative': 0.2262870632985141}",2
2971,2023-07-07,TECH,NEGATIVE,"{'positive': 0.004825258860364556, 'neutral': 0.4247465580701828, 'negative': 0.5704281628131866}",1
2972,2023-07-07,TGT,NEUTRAL,"{'positive': 0.026971997052896768, 'neutral': 0.9396780729293823, 'negative': 0.03334991732845083}",4
2973,2023-07-07,V,NEUTRAL,"{'positive': 0.005418798886239529, 'neutral': 0.8256555497646332, 'negative': 0.1689256954123266}",1
2974,2023-07-07,WELL,NEGATIVE,"{'positive': 0.0028198015643283725, 'neutral': 0.011382719967514277, 'negative': 0.9857974350452423}",1
2975,2023-07-08,A,NEUTRAL,"{'positive': 0.07906397666296332, 'neutral': 0.8211203345672713, 'negative': 0.09981569022194911}",8
2976,2023-07-08,ARE,NEUTRAL,"{'positive': 0.020126294012048414, 'neutral': 0.7710541319102049, 'negative': 0.2088195627085432}",7
2977,2023-07-08,D,NEUTRAL,"{'positive': 0.28070347011089325, 'neutral': 0.7027462720870972, 'negative': 0.016550354659557343}",1
2978,2023-07-08,HAS,NEUTRAL,"{'positive': 0.002345226729466092, 'neutral': 0.7563921743205615, 'negative': 0.2412626152375846}",5
2979,2023-07-08,IT,NEUTRAL,"{'positive': 0.11709539800982124, 'neutral': 0.7535434771528734, 'negative': 0.12936111486051233}",5
2980,2023-07-08,ON,NEUTRAL,"{'positive': 0.0022692648373777045, 'neutral': 0.7008090578019619, 'negative': 0.29692168646652134}",5
2981,2023-07-08,TGT,NEUTRAL,"{'positive': 0.004693704657256603, 'neutral': 0.9945759773254395, 'negative': 0.0007304021855816245}",1
2982,2023-07-09,A,NEUTRAL,"{'positive': 0.01754450135482872, 'neutral': 0.9214701045119046, 'negative': 0.06098538754540406}",10
2983,2023-07-09,APP,NEUTRAL,"{'positive': 0.0009250510483980179, 'neutral': 0.9952071309089661, 'negative': 0.003867856692522764}",1
2984,2023-07-09,ARE,NEUTRAL,"{'positive': 0.1585813586759657, 'neutral': 0.7073451744185554, 'negative': 0.13407346168188033}",9
2985,2023-07-09,COST,NEUTRAL,"{'positive': 0.0010408353991806507, 'neutral': 0.9981454610824585, 'negative': 0.0008137513068504632}",1
2986,2023-07-09,HAS,NEUTRAL,"{'positive': 0.006247211798160736, 'neutral': 0.9093179200376783, 'negative': 0.08443485325634745}",5
2987,2023-07-09,IT,NEUTRAL,"{'positive': 0.033693972706844634, 'neutral': 0.6436393109726763, 'negative': 0.32266673165438636}",7
2988,2023-07-09,ON,NEUTRAL,"{'positive': 0.16353883862487106, 'neutral': 0.7691413116242204, 'negative': 0.06731985105933355}",8
2989,2023-07-09,SEE,NEUTRAL,"{'positive': 0.004083528416231275, 'neutral': 0.8376680910587311, 'negative': 0.1582483947277069}",1
2990,2023-07-09,TGT,NEUTRAL,"{'positive': 0.011589439120143652, 'neutral': 0.7518124282360077, 'negative': 0.23659811168909073}",2
2991,2023-07-10,A,NEUTRAL,"{'positive': 0.08555484247607739, 'neutral': 0.8764022102173367, 'negative': 0.03804294100285405}",17
2992,2023-07-10,ALL,NEUTRAL,"{'positive': 0.0008281620442479228, 'neutral': 0.9446800251801808, 'negative': 0.054491799392659836}",2
2993,2023-07-10,APP,NEUTRAL,"{'positive': 0.00367752427700907, 'neutral': 0.6506758481264114, 'negative': 0.34564665937796235}",1
2994,2023-07-10,ARE,NEUTRAL,"{'positive': 0.059866670845103394, 'neutral': 0.7995764537266007, 'negative': 0.1405568887550746}",6
2995,2023-07-10,COST,NEUTRAL,"{'positive': 0.0010355192935094237, 'neutral': 0.998151570558548, 'negative': 0.0008128778135869652}",1
2996,2023-07-10,D,NEGATIVE,"{'positive': 0.004145523067563772, 'neutral': 0.3725820481777191, 'negative': 0.6232724189758301}",1
2997,2023-07-10,HAS,NEUTRAL,"{'positive': 0.11506922990098499, 'neutral': 0.7983168899115244, 'negative': 0.0866138827794617}",12
2998,2023-07-10,IT,NEUTRAL,"{'positive': 0.2302626057743768, 'neutral': 0.6579453675182172, 'negative': 0.11179201451205066}",13
2999,2023-07-10,KEY,NEUTRAL,"{'positive': 0.0016247289022430778, 'neutral': 0.9682244658470154, 'negative': 0.030150828883051872}",1
3000,2023-07-10,META,NEUTRAL,"{'positive': 0.20034099883923773, 'neutral': 0.7921406527360281, 'negative': 0.007518335245549679}",3
3001,2023-07-10,NOW,NEUTRAL,"{'positive': 0.0035565890138968825, 'neutral': 0.9117856323719025, 'negative': 0.08465781435370445}",1
3002,2023-07-10,ON,NEUTRAL,"{'positive': 0.01221986927162662, 'neutral': 0.8964567118290159, 'negative': 0.09132340782015703}",13
3003,2023-07-10,RE,NEUTRAL,"{'positive': 0.09053788892924786, 'neutral': 0.9088079631328583, 'negative': 0.0006541367183672264}",2
3004,2023-07-10,ROST,NEUTRAL,"{'positive': 0.01803456910905273, 'neutral': 0.9533700992663702, 'negative': 0.028595313623857994}",3
3005,2023-07-10,SO,NEGATIVE,"{'positive': 0.017218056941471462, 'neutral': 0.40433287993073463, 'negative': 0.5784490857872048}",2
3006,2023-07-10,TGT,NEUTRAL,"{'positive': 0.008163596930292746, 'neutral': 0.701212669412295, 'negative': 0.2906237492958705}",3
3007,2023-07-10,WELL,NEUTRAL,"{'positive': 0.000503869894600939, 'neutral': 0.9960312992334366, 'negative': 0.0034648294385988265}",2
3008,2023-07-11,A,NEUTRAL,"{'positive': 0.11534965517489917, 'neutral': 0.7621438067833325, 'negative': 0.12250654128183336}",13
3009,2023-07-11,ALL,NEGATIVE,"{'positive': 0.005898505744213859, 'neutral': 0.3476827849944433, 'negative': 0.6464187260561933}",3
3010,2023-07-11,AMZN,NEUTRAL,"{'positive': 0.08901410807933037, 'neutral': 0.8188682397206625, 'negative': 0.09211764040325458}",1
3011,2023-07-11,APP,NEUTRAL,"{'positive': 0.002673525727004744, 'neutral': 0.994954451918602, 'negative': 0.0023720268582110293}",1
3012,2023-07-11,ARE,NEUTRAL,"{'positive': 0.004147298466390385, 'neutral': 0.6940945828441403, 'negative': 0.301758122891237}",6
3013,2023-07-11,ATVI,NEUTRAL,"{'positive': 0.11388801783323288, 'neutral': 0.8846430778503418, 'negative': 0.001468954695155844}",1
3014,2023-07-11,CMA,NEUTRAL,"{'positive': 0.0005622437893180177, 'neutral': 0.9979213029146194, 'negative': 0.0015164829819696024}",1
3015,2023-07-11,COST,NEGATIVE,"{'positive': 0.014562781007649997, 'neutral': 0.4469156463940938, 'negative': 0.5385216011006074}",1
3016,2023-07-11,HAS,NEUTRAL,"{'positive': 0.07976154264864307, 'neutral': 0.7732512609378396, 'negative': 0.1469872113412031}",9
3017,2023-07-11,IT,NEUTRAL,"{'positive': 0.12115506075092664, 'neutral': 0.6576698883754116, 'negative': 0.22117506503488227}",10
3018,2023-07-11,META,NEUTRAL,"{'positive': 0.0012810332506584625, 'neutral': 0.9969329370392693, 'negative': 0.0017860436475732261}",1
3019,2023-07-11,MSFT,NEUTRAL,"{'positive': 0.020731052086274657, 'neutral': 0.978330499596066, 'negative': 0.0009384559590317723}",1
3020,2023-07-11,NOW,NEUTRAL,"{'positive': 0.002779379195999354, 'neutral': 0.9055854827165604, 'negative': 0.09163514152169228}",1
3021,2023-07-11,ON,NEUTRAL,"{'positive': 0.06992881201494115, 'neutral': 0.8205028073340548, 'negative': 0.1095683835905763}",10
3022,2023-07-11,PEAK,NEUTRAL,"{'positive': 0.008138594838480154, 'neutral': 0.7069357434908549, 'negative': 0.2849256694316864}",1
3023,2023-07-11,PGR,NEUTRAL,"{'positive': 0.005440037930384278, 'neutral': 0.6080011129379272, 'negative': 0.3865588307380676}",1
3024,2023-07-11,RE,NEUTRAL,"{'positive': 0.003813750226981938, 'neutral': 0.5592320561408997, 'negative': 0.4369541624037083}",2
3025,2023-07-11,ROST,NEUTRAL,"{'positive': 0.0006314777613927921, 'neutral': 0.998654862244924, 'negative': 0.0007136473044132193}",1
3026,2023-07-11,SEE,NEUTRAL,"{'positive': 0.11223900690674782, 'neutral': 0.8236671686172485, 'negative': 0.06409383565187454}",1
3027,2023-07-11,SO,NEUTRAL,"{'positive': 0.2474306845178944, 'neutral': 0.7468806318938732, 'negative': 0.005688688645022921}",2
3028,2023-07-11,TGT,NEUTRAL,"{'positive': 0.0051240865141153336, 'neutral': 0.7710700631141663, 'negative': 0.2238058199485143}",3
3029,2023-07-12,A,NEUTRAL,"{'positive': 0.09805993954449546, 'neutral': 0.7505664096608932, 'negative': 0.15137364785031973}",16
3030,2023-07-12,AAPL,NEUTRAL,"{'positive': 0.004759653384098783, 'neutral': 0.9933237135410309, 'negative': 0.0019166486454196274}",1
3031,2023-07-12,ALL,NEUTRAL,"{'positive': 0.007514301425544545, 'neutral': 0.8338191658258438, 'negative': 0.15866654760126644}",3
3032,2023-07-12,APP,NEGATIVE,"{'positive': 0.004921390675008297, 'neutral': 0.4216378152370453, 'negative': 0.5734407782554627}",1
3033,2023-07-12,ARE,NEGATIVE,"{'positive': 0.22060551650433818, 'neutral': 0.34486760437852687, 'negative': 0.4345268756508615}",7
3034,2023-07-12,HAS,NEUTRAL,"{'positive': 0.032866965568507274, 'neutral': 0.8812012799540422, 'negative': 0.08593176505534184}",8
3035,2023-07-12,HIG,NEUTRAL,"{'positive': 0.0007601854158565402, 'neutral': 0.9976691404978434, 'negative': 0.0015706218546256423}",1
3036,2023-07-12,IT,NEUTRAL,"{'positive': 0.053609429655141934, 'neutral': 0.8931017341149717, 'negative': 0.053288834061933216}",12
3037,2023-07-12,LOW,NEUTRAL,"{'positive': 0.3323749154806137, 'neutral': 0.6305464208126068, 'negative': 0.03707868419587612}",1
3038,2023-07-12,NDAQ,POSITIVE,"{'positive': 0.9960716962814331, 'neutral': 0.002553211059421301, 'negative': 0.0013750771759077907}",1
3039,2023-07-12,NVDA,NEUTRAL,"{'positive': 0.010906009149039164, 'neutral': 0.9859034493565559, 'negative': 0.003190580304362811}",1
3040,2023-07-12,ON,NEUTRAL,"{'positive': 0.04362836362107897, 'neutral': 0.7905113192215343, 'negative': 0.16586031973242615}",10
